Dates,usdkrw
5/3/2024,1363
5/2/2024,1375.85
5/1/2024,1382.1
4/30/2024,1382.1
4/29/2024,1377.25
4/26/2024,1375.3
4/25/2024,1374.8
4/24/2024,1369.4
4/23/2024,1378.35
4/22/2024,1379.4
4/19/2024,1382.3
4/18/2024,1373.1
4/17/2024,1386.8
4/16/2024,1394.65
4/15/2024,1384.05
4/12/2024,1375.4
4/11/2024,1364.2
4/10/2024,1354.95
4/9/2024,1354.95
4/8/2024,1353.25
4/5/2024,1352.7
4/4/2024,1346.95
4/3/2024,1348.85
4/2/2024,1352.1
4/1/2024,1349.3
3/29/2024,1347.35
3/28/2024,1346.15
3/27/2024,1348.7
3/26/2024,1339.55
3/25/2024,1342.25
3/22/2024,1338.45
3/21/2024,1322.5
3/20/2024,1339.55
3/19/2024,1340
3/18/2024,1333.7
3/15/2024,1329.9
3/14/2024,1317.75
3/13/2024,1314.35
3/12/2024,1310.85
3/11/2024,1310.2
3/8/2024,1319.75
3/7/2024,1330.9
3/6/2024,1334.35
3/5/2024,1334.5
3/4/2024,1331.35
3/1/2024,1331.4
2/29/2024,1331.4
2/28/2024,1333.65
2/27/2024,1331.15
2/26/2024,1331.05
2/23/2024,1331.1
2/22/2024,1328.75
2/21/2024,1334.8
2/20/2024,1337.5
2/19/2024,1335.15
2/16/2024,1335.55
2/15/2024,1334.05
2/14/2024,1335.35
2/13/2024,1328.05
2/12/2024,1328.25
2/9/2024,1328.25
2/8/2024,1328.25
2/7/2024,1327.7
2/6/2024,1327.55
2/5/2024,1330.75
2/2/2024,1322.35
2/1/2024,1331.85
1/31/2024,1334.65
1/30/2024,1329.5
1/29/2024,1335.65
1/26/2024,1336.3
1/25/2024,1335.9
1/24/2024,1337.2
1/23/2024,1333.25
1/22/2024,1338.8
1/19/2024,1338.9
1/18/2024,1339.3
1/17/2024,1344.35
1/16/2024,1331.75
1/15/2024,1320.25
1/12/2024,1313.85
1/11/2024,1312.8
1/10/2024,1320.25
1/9/2024,1315.8
1/8/2024,1315.85
1/5/2024,1315.65
1/4/2024,1310.15
1/3/2024,1305.05
1/2/2024,1300.55
1/1/2024,1288.1
12/29/2023,1288.1
12/28/2023,1288.1
12/27/2023,1294.2
12/26/2023,1294.3
12/25/2023,1302.9
12/22/2023,1302.9
12/21/2023,1305.2
12/20/2023,1298.95
12/19/2023,1307.85
12/18/2023,1297.25
12/15/2023,1296.35
12/14/2023,1295.3
12/13/2023,1320
12/12/2023,1313.9
12/11/2023,1316.45
12/8/2023,1306.95
12/7/2023,1325.4
12/6/2023,1313.1
12/5/2023,1311.2
12/4/2023,1304.05
12/1/2023,1305.75
11/30/2023,1290.1
11/29/2023,1289.3
11/28/2023,1293.8
11/27/2023,1303.85
11/24/2023,1306.3
11/23/2023,1297.5
11/22/2023,1300.5
11/21/2023,1289.2
11/20/2023,1291.55
11/17/2023,1296.75
11/16/2023,1296.9
11/15/2023,1300.75
11/14/2023,1328.95
11/13/2023,1325.1
11/10/2023,1316.9
11/9/2023,1309.75
11/8/2023,1310.55
11/7/2023,1308
11/6/2023,1297.45
11/3/2023,1322.3
11/2/2023,1343
11/1/2023,1357.25
10/31/2023,1350.65
10/30/2023,1350.9
10/27/2023,1355.9
10/26/2023,1359.85
10/25/2023,1349.45
10/24/2023,1343.1
10/23/2023,1353.7
10/20/2023,1352.5
10/19/2023,1357.3
10/18/2023,1349.6
10/17/2023,1353.55
10/16/2023,1353.65
10/13/2023,1350.05
10/12/2023,1338.5
10/11/2023,1338.8
10/10/2023,1349.65
10/9/2023,1350
10/6/2023,1350
10/5/2023,1350.55
10/4/2023,1363.45
10/3/2023,1349.4
10/2/2023,1349.4
9/29/2023,1349.4
9/28/2023,1349.4
9/27/2023,1349.4
9/26/2023,1348.7
9/25/2023,1336.55
9/22/2023,1336.75
9/21/2023,1339.75
9/20/2023,1330.15
9/19/2023,1328.5
9/18/2023,1324.35
9/15/2023,1326
9/14/2023,1325.9
9/13/2023,1330
9/12/2023,1327.65
9/11/2023,1331.35
9/8/2023,1332.95
9/7/2023,1335.35
9/6/2023,1330.65
9/5/2023,1330.65
9/4/2023,1319.55
9/1/2023,1318.75
8/31/2023,1322.65
8/30/2023,1323.5
8/29/2023,1321.8
8/28/2023,1323.3
8/25/2023,1325
8/24/2023,1322.35
8/23/2023,1339.8
8/22/2023,1335.5
8/21/2023,1342.75
8/18/2023,1338.2
8/17/2023,1341.8
8/16/2023,1336.8
8/15/2023,1330.6
8/14/2023,1330.6
8/11/2023,1324.65
8/10/2023,1315.85
8/9/2023,1315.9
8/8/2023,1316
8/7/2023,1306.05
8/4/2023,1309.7
8/3/2023,1299.1
8/2/2023,1298.35
8/1/2023,1283.85
7/31/2023,1274.55
7/28/2023,1277.05
7/27/2023,1277.65
7/26/2023,1274.45
7/25/2023,1275.35
7/24/2023,1279.85
7/21/2023,1283.4
7/20/2023,1269.65
7/19/2023,1265.75
7/18/2023,1260.5
7/17/2023,1266.7
7/14/2023,1266.1
7/13/2023,1274.7
7/12/2023,1288.8
7/11/2023,1293.7
7/10/2023,1306.35
7/7/2023,1305.2
7/6/2023,1300.8
7/5/2023,1298.55
7/4/2023,1301.3
7/3/2023,1308.05
6/30/2023,1317.75
6/29/2023,1317.5
6/28/2023,1307.5
6/27/2023,1300.4

